the,1,a
be,0.569265582,v
and,0.487375137,c
of,0.46935277,i
a,0.460292083,a
in,0.317462645,i
to,0.287322729,t
have,0.195291537,v
to,0.175007186,i
it,0.175713265,p
I,0.180513385,p
that,0.155681108,c
for,0.148895654,i
you,0.139806925,p
he,0.132007116,p
with,0.121741498,i
on,0.112770517,i
do,0.116776258,v
say,0.086899199,v
this,0.085548298,d
they,0.08465051,p
at,0.080206401,i
but,0.080620629,c
we,0.082624748,p
his,0.081752324,a
from,0.074229438,i
that,0.077700255,d
not,0.074361751,x
n't,0.073462284,x
by,0.06763347,i
she,0.067375786,p
or,0.06258651,c
as,0.058845758,c
what,0.053588803,d
go,0.052228554,v
their,0.049142335,a
can,0.046408316,v
who,0.046204492,p
get,0.045038946,v
if,0.042359377,c
would,0.041995153,v
her,0.043995097,a
all,0.040479041,d
my,0.041736788,a
make,0.038893914,v
about,0.039676087,i
know,0.040498688,v
will,0.037414692,v
as,0.037616611,i
up,0.036097277,r
one,0.034858452,m
time,0.034696237,n
there,0.035597881,e
year,0.034904825,n
so,0.034328382,r
think,0.035065135,v
when,0.030792588,c
which,0.031126366,d
them,0.030758285,p
some,0.030591441,d
me,0.032199074,p
people,0.031375293,n
take,0.030434989,v
out,0.030791545,r
into,0.030318239,i
just,0.03075107,r
see,0.030112827,v
him,0.030750889,p
your,0.029930284,a
come,0.028506964,v
could,0.028038604,v
now,0.027497055,r
than,0.026306417,c
like,0.025811513,i
other,0.024856326,j
how,0.024452217,r
then,0.024682903,r
its,0.024489697,a
our,0.023826679,a
two,0.0231878,m
more,0.023483145,r
these,0.023316529,d
want,0.023366804,v
way,0.021344399,n
look,0.022311157,v
first,0.021034262,m
also,0.021081452,r
new,0.01978314,j
because,0.019898664,c
day,0.019637033,n
more,0.019065173,d
use,0.019092897,v
no,0.018250784,a
man,0.01859282,n
find,0.017932297,v
here,0.018708753,r
thing,0.018182812,n
give,0.017446786,v
many,0.017485128,d
well,0.018684296,r
only,0.017223133,r
those,0.017152031,d
tell,0.017612495,v
one,0.016768431,p
very,0.01777884,r
her,0.018056942,p
even,0.01638338,r
back,0.016690886,r
any,0.015795003,d
good,0.01606149,j
woman,0.01549199,n
through,0.015469257,i
us,0.015930584,p
life,0.015113699,n
child,0.015148366,n
there,0.01512949,r
work,0.014438748,v
down,0.014946901,r
may,0.014727287,v
after,0.014152523,i
should,0.014078244,v
call,0.013977739,v
world,0.013771555,n
over,0.013628306,i
school,0.013802274,n
still,0.013474213,r
try,0.013341265,v
in,0.012933435,r
as,0.012772264,r
last,0.013151598,m
ask,0.012915149,v
need,0.012557232,v
too,0.012722941,r
feel,0.012487808,v
three,0.012103483,m
when,0.012170411,r
state,0.012350731,n
never,0.011914723,r
become,0.011756728,v
between,0.011986143,i
high,0.011613071,j
really,0.011952384,r
something,0.011566516,p
most,0.011178561,r
another,0.010919289,d
much,0.011094481,d
family,0.011038216,n
own,0.010910486,d
out,0.011000827,i
leave,0.010911847,v
put,0.010775632,v
old,0.010734658,j
while,0.01064291,c
mean,0.010989711,v
on,0.010752944,r
keep,0.010516087,v
student,0.011572733,n
why,0.010683158,r
let,0.010903589,v
great,0.01020958,j
same,0.010111162,d
big,0.010307771,j
group,0.010410591,n
begin,0.009919725,v
seem,0.009965554,v
country,0.010124865,n
help,0.0098047,v
talk,0.010410318,v
where,0.009698613,c
turn,0.01004564,v
problem,0.009879387,n
every,0.009653011,a
start,0.009708051,v
hand,0.010220561,n
might,0.009486032,v
American,0.009754152,j
show,0.009439659,v
part,0.009431673,n
about,0.009462936,r
against,0.009273677,i
place,0.009185105,n
over,0.009449777,r
such,0.009395554,d
again,0.00938784,r
few,0.008950925,d
case,0.009110055,n
most,0.008942758,d
week,0.009041766,n
company,0.009226759,n
where,0.008822106,r
system,0.009082921,n
each,0.008917167,d
right,0.009313199,r
program,0.0088928,n
hear,0.008896657,v
so,0.008707126,c
question,0.008715157,n
during,0.00865431,i
work,0.008509292,n
play,0.008545365,v
government,0.008680854,n
run,0.008499854,v
small,0.008415365,j
number,0.008439959,n
off,0.008342357,r
always,0.008143615,r
move,0.008139713,v
like,0.008273705,v
night,0.008372169,n
live,0.007992517,v
Mr,0.008555665,n
point,0.008053183,n
believe,0.008094746,v
hold,0.008048056,v
today,0.008336459,r
bring,0.00791184,v
happen,0.00829063,v
next,0.007999868,m
without,0.007824811,i
before,0.007839376,i
large,0.007968332,j
all,0.008045742,r
million,0.008026593,m
must,0.007761059,v
home,0.007737646,n
under,0.007476241,i
water,0.007607828,n
room,0.0078259,n
write,0.007342748,v
mother,0.007686826,n
area,0.007523703,n
national,0.007548523,j
money,0.007477512,n
story,0.007422517,n
young,0.007260483,j
fact,0.007459679,n
month,0.007381816,n
different,0.007369383,j
lot,0.007694222,n
right,0.007407861,n
study,0.007898364,n
book,0.006988325,n
eye,0.007675165,n
job,0.007021448,n
word,0.006937414,n
though,0.006905243,c
business,0.00700897,n
issue,0.007097406,n
side,0.00692235,n
kind,0.007034562,n
four,0.006835548,m
head,0.007265928,n
far,0.006743663,r
black,0.006838815,j
long,0.006763129,j
both,0.006640072,d
little,0.006790717,j
house,0.00677225,n
yes,0.007140376,u
after,0.006456349,c
since,0.00640984,c
long,0.006443554,r
provide,0.00684612,v
service,0.006630271,n
around,0.006523368,i
friend,0.006474862,n
important,0.006542789,j
father,0.006581675,n
sit,0.006678505,v
away,0.006566338,r
until,0.006389648,c
power,0.00641406,n
hour,0.00630507,n
game,0.006638847,n
often,0.006385655,r
yet,0.006147573,r
line,0.006170351,n
political,0.006553815,j
end,0.006084956,n
among,0.006270448,i
ever,0.006160732,r
stand,0.006395003,v
bad,0.006121528,j
lose,0.006084865,v
however,0.006456032,r
member,0.006113406,n
pay,0.006040897,v
law,0.006066897,n
meet,0.005841429,v
car,0.006060771,n
city,0.006020524,n
almost,0.005803768,r
include,0.006060408,v
continue,0.005718554,v
set,0.005779356,v
later,0.005739698,r
community,0.006037448,n
much,0.005718554,r
name,0.00576892,n
five,0.005697772,m
once,0.005726449,r
white,0.005751723,j
least,0.005624718,r
president,0.006089448,n
learn,0.005642188,v
real,0.005634973,j
change,0.005589417,v
team,0.005966301,n
minute,0.005747185,n
best,0.005665057,j
several,0.005628257,d
idea,0.005542091,n
kid,0.005736658,n
body,0.00567935,n
information,0.005777632,n
nothing,0.005749771,p
ago,0.005683297,r
right,0.005729852,j
lead,0.005567092,v
social,0.006030279,j
understand,0.005506426,v
whether,0.005532153,c
back,0.005672135,n
watch,0.005670774,v
together,0.005408053,r
follow,0.005418898,v
around,0.005571539,r
parent,0.005427292,n
only,0.005340626,j
stop,0.005512188,v
face,0.005775817,n
anything,0.005458238,p
create,0.005418625,v
public,0.005437048,j
already,0.005228096,r
speak,0.005325108,v
others,0.005253098,n
read,0.005177004,v
level,0.005522307,n
allow,0.005213213,v
add,0.005347069,v
office,0.00520863,n
spend,0.005198557,v
door,0.005671545,n
health,0.005343439,n
person,0.005156858,n
art,0.005347478,n
sure,0.005271928,j
such,0.005405285,i
war,0.005345345,n
history,0.005213758,n
party,0.00512564,n
within,0.005199918,i
grow,0.004992147,v
result,0.005276058,n
open,0.0050755,v
change,0.005101319,n
morning,0.00517283,n
walk,0.005163074,v
reason,0.004848898,n
low,0.004945411,j
win,0.005058303,v
research,0.00520913,n
girl,0.005009798,n
guy,0.005009798,n
early,0.004908249,j
food,0.004888147,n
before,0.004875442,c
moment,0.004978534,n
himself,0.004958932,p
air,0.004806654,n
teacher,0.005268026,n
force,0.004900716,n
offer,0.004831202,v
enough,0.004804295,r
both,0.00482612,r
education,0.005160533,n
across,0.004789729,i
although,0.004897086,c
remember,0.004849624,v
foot,0.004868046,n
second,0.004701793,m
boy,0.004875397,n
maybe,0.004919592,r
toward,0.004809014,i
able,0.004681374,j
age,0.004691856,n
off,0.004724526,i
policy,0.004882385,n
everything,0.004700431,p
love,0.004704515,v
process,0.004870587,n
music,0.004658051,n
including,0.004703109,i
consider,0.00462765,v
appear,0.004567937,v
actually,0.004771398,r
buy,0.004587629,v
probably,0.004526328,r
human,0.004593029,j
wait,0.004649249,v
serve,0.004522063,v
market,0.004557228,n
die,0.004463801,v
send,0.004383805,v
expect,0.004336298,v
home,0.004443882,r
sense,0.004351272,n
build,0.00438553,v
stay,0.004398325,v
fall,0.004397191,v
oh,0.00470143,u
nation,0.004410985,n
plan,0.004348005,n
cut,0.004356535,v
college,0.00440309,n
interest,0.004384123,n
death,0.004229939,n
course,0.004366155,r
someone,0.004338204,p
experience,0.00445155,n
behind,0.004312748,i
reach,0.004191507,v
local,0.004218505,j
kill,0.004204438,v
six,0.00410965,m
remain,0.004143591,v
effect,0.004320417,n
use,0.004381582,n
yeah,0.004691266,u
suggest,0.004203667,v
class,0.004143772,n
control,0.004097399,n
raise,0.00394925,v
care,0.004032105,n
perhaps,0.003950339,r
little,0.004024618,r
late,0.003921344,j
hard,0.003939313,j
field,0.003958643,n
else,0.003987365,r
pass,0.003910591,v
former,0.00403519,d
sell,0.003986866,v
major,0.003969714,j
sometimes,0.003849834,r
require,0.004051071,v
along,0.003853509,i
development,0.004174264,n
themselves,0.003868483,p
report,0.003999253,v
role,0.004023211,n
better,0.003806727,j
economic,0.004101528,j
effort,0.003923704,n
up,0.003891306,i
decide,0.00381308,v
rate,0.00395778,n
strong,0.003796836,j
