The,1
and,0.315820533
of,0.243500051
to,0.235720639
a,0.201761828
I,0.14989908
he,0.129167664
You,0.108547433
her,0.10163525
it,0.100993808
his,0.094651226
in,0.08472341
that,0.08329
she,0.083240395
as,0.081806986
he said,0.081526462
was,0.072323903
of the,0.068068147
no,0.064741199
I said,0.061078991
but,0.054163388
she said,0.054120625
my,0.052512743
me,0.046084636
not,0.045446615
him,0.041142965
had,0.04009271
they,0.037449968
then,0.037304574
so,0.0366255
YES,0.036560501
It was,0.036208135
or,0.03615853
for,0.03592248
with,0.035813007
is,0.035021039
Of course,0.034295782
said,0.033245527
well,0.032739215
now,0.031182649
what,0.030392392
on,0.030378708
in the,0.029608977
we,0.028543327
too,0.028196093
this,0.027838596
your,0.027238206
he was,0.024251651
them,0.024078889
one,0.023926653
It's,0.02351442
and the,0.022404297
there,0.02158154
Oh,0.021360884
again,0.021350621
all,0.021328384
at,0.02101536
I'm,0.020885361
here,0.020810099
up,0.020052342
you know,0.019592214
their,0.019451952
right,0.019221032
were,0.01914748
just,0.018615511
be,0.01847867
like,0.018056173
I asked,0.017738018
by,0.017640519
out,0.017424994
an,0.017303548
from,0.017293285
to the,0.017163286
still,0.016916972
more,0.016648421
good,0.016147241
I know,0.015921453
she was,0.01591119
That's,0.015469878
I don't know,0.015333037
are,0.015132907
back,0.015002908
you're,0.014787383
I was,0.014683042
asked,0.014458965
on the,0.01440936
Why,0.014207519
even,0.014186993
are you,0.013957785
yeah,0.013913311
Do,0.013572919
who,0.013153844
It is,0.013085423
they were,0.012999897
very,0.012987924
I am,0.012972529
though,0.012536348
if,0.012449112
don't,0.012370429
at the,0.012069378
how,0.012021484
nothing,0.011961616
all right,0.011946221
And then,0.011915432
have,0.011749513
some,0.011590435
down,0.011563067
he asked,0.011487804
this is,0.011463857
did,0.011463857
about,0.011443331
go,0.01127399
Sir,0.011272279
you are,0.011166228
and I,0.011128596
something,0.011051623
Mr,0.010957545
over,0.010937019
would,0.010779652
I mean,0.010694126
really,0.010598337
thank you,0.010550443
in a,0.010478601
time,0.010451233
us,0.01037255
That was,0.010098868
at least,0.010044131
another,0.009980842
with a,0.009931237
will,0.009878211
it was a,0.009826896
away,0.009823475
after,0.009779002
only,0.009729397
for the,0.009681503
okay,0.009542951
I say,0.009527556
which,0.009471109
he's,0.009409531
never,0.009265848
I think,0.009253874
I don't,0.009120454
and he,0.009103349
if you,0.009096507
from the,0.009075981
in fact,0.009048613
our,0.008952824
two,0.008894667
maybe,0.00883993
a little,0.008819404
to be,0.008634669
come,0.008609011
when,0.008523485
she asked,0.008422565
where,0.008410591
nodded,0.008400328
Do you,0.008378092
look,0.008359276
man,0.008027437
I'll,0.007979542
its,0.007926516
